,game,utt_id,game_start,utt_time,intent,int_type,oids,summary,holding,old_plan,corrected plan,anno_explain,utt
10,a271344397d0507c_5376,128,20250613-144428,20250613-145437,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['plate_1', 'toaster_0', 'diningtable_0', 'bread_0', 'sinkbasin_0', 'knife_0', 'breadsliced_0', 'plate_0', 'countertop_0']","['knife_0  is on top of a diningtable_0 ; ', 'bread_0  ; ', 'diningtable_0  is on top of a Floor , has on top Bread, Bread, Bread, Bread, Bread, Lettuce, Plate, Tomato, SaltShaker, Cup, Knife, Egg, Cup, WineBottle, Tomato, Egg, Bread; ', 'breadsliced_0 is Cooked,   is on top of a plate_1 and on top of a diningtable_0 ; ', 'toaster_0 is Toggled,   is on top of a countertop_0 ; ', 'plate_0 is Dirty,   is on top of a countertop_0 , has on top Apple; ', 'sinkbasin_0  , has inside Spatula, ButterKnife, SaltShaker; ', 'countertop_0  , has on top DishSponge, Mug, Apple, Potato, CoffeeMachine, Pan, Lettuce, Toaster, Plate, Tomato, Fork, SoapBottle, SaltShaker; ', 'plate_1  is on top of a diningtable_0 , has on top Bread; ']",,"[{'command': 'Pick_up(breadsliced_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Place(breadsliced_0, plate_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pick_up(knife_0)', 'Slice(tomato_0)', 'Place(tomatosliced_0, plate_1)']",find a tomato and slice it,slice the tomato and put it on the plate as well
11,a271344397d0507c_5376,134,20250613-150146,20250613-150255,Command,IN_CONTEXT_AFTER_SUCCESS,['apple_0'],"['apple_0 is PickedUp,   ; ']",apple_0,"[{'command': 'Pick_up(apple_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Place(apple_0, fridge_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(apple_0, sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)', 'Pick_up(apple_0)', 'Place(apple_0, fridge_0)']",wash the apple and then do all not attempted steps in the old plan,wash it first
12,a271344397d0507c_5376,136,20250613-150146,20250613-151103,Command,IN_CONTEXT_AFTER_SUCCESS,"['faucet_0', 'apple_0', 'sinkbasin_0']","['apple_0  is on top of a sinkbasin_0 ; ', 'sinkbasin_0  , has inside Spatula, Apple, ButterKnife, SaltShaker; ', 'faucet_0  ; ']",,"[{'command': 'Place(apple_0, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_on(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_off(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Pick_up(apple_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Place(apple_0, fridge_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Pick_up(saltshaker_0)', 'Place(saltshaker_0, countertop_0)', 'Pick_up(apple_0)', 'Place(apple_0, fridge_0)']",move the salt shaker to the countertop and do all not attempted steps in the old plan,salt shouldn't be in the sink
13,8d187c2be57b026b_14a6,141,20250613-151825,20250613-151825,Command,NO_CONTEXT,[],[],,[],['Pick_up(mug_0)'],,lets find something for watering
14,8d187c2be57b026b_14a6,143,20250613-151825,20250613-151913,Command,IN_CONTEXT_AFTER_FINAL_FAILED,['mug_0'],"['mug_0 is FilledWithLiquid,   is on top of a Plate and inside a Cabinet ; ']",,"[{'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.FAILED'}]","['Open(cabinet_0)', 'Pick_up(mug_0)']","the mug is inside the cabinet, open the cabinet and pick up the mug",open the cabinet
15,66fecce3c339dad8_84ba,165,20250613-153250,20250618-160236,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['pot_0', 'sinkbasin_0']","['pot_0 is Dirty,  is PickedUp,   ; ', 'sinkbasin_0  , has inside Apple, Mug, CounterTop, PepperShaker; ']",pot_0,"[{'command': 'Pour(pot_0, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(pot_0,sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)']",I will fill up the pot that I just used by placing it in the sink and turning on the water,fill it up
16,458d075d168379d0_98ef,174,20250618-160606,20250618-161154,Command,IN_CONTEXT_AFTER_FINAL_FAILED,"['mug_0', 'cup_0', 'countertop_0']","['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Mug, Pan, DishSponge, Cup, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ']",,"[{'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.FAILED'}]","['Open(cabinet_0)', 'Pick_up(mug_0)']","the mug is in the cabinet, I will open the cabinet and pick up the mug",open the cabinet first
17,458d075d168379d0_98ef,179,20250618-160606,20250618-161424,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['mug_0', 'mug_1', 'cabinet_0', 'cup_0', 'countertop_0']","['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Pan, DishSponge, Cup, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ', 'cabinet_0  , has inside Bread; ', 'mug_1 is FilledWithLiquid,  is Dirty,  is PickedUp,   ; ']",mug_1,"[{'command': 'Close(cabinet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Pick_up(mug_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pour(mug_1,sinkbasin_0)', 'Place(mug_1,sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)', 'Pick_up(mug_1)']",the user refers to the mug I am holding. I will wash it,this looks dirty
18,458d075d168379d0_98ef,181,20250618-160606,20250618-161615,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['mug_0', 'mug_1', 'cabinet_0', 'faucet_0', 'sinkbasin_0', 'cup_0', 'countertop_0']","['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Cup, Pan, DishSponge, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ', 'cabinet_0  , has inside Bread; ', 'mug_1 is FilledWithLiquid,  is PickedUp,   ; ', 'sinkbasin_0  , has inside Cup; ', 'faucet_0  is on top of a countertop_0 ; ']",mug_1,"[{'command': 'Pour(mug_1, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Place(mug_1, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_on(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_off(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Pick_up(mug_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pour(mug_1,sinkbasin_0)']",the user refers to the mug I am holding. I will empty it.,empty it
19,458d075d168379d0_98ef,183,20250618-160606,20250618-161709,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['mug_0', 'mug_1', 'cabinet_0', 'faucet_0', 'sinkbasin_0', 'cup_0', 'countertop_0']","['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Cup, Pan, DishSponge, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ', 'cabinet_0  , has inside Bread; ', 'mug_1 is PickedUp,   ; ', 'sinkbasin_0  , has inside Cup; ', 'faucet_0  is on top of a countertop_0 ; ']",mug_1,"[{'command': 'Pour(mug_1, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(mug_1,coffeemachine_0)', 'Toggle_on(coffeemachine_0)']",the user refers to the mug I am holding. I will place it in the coffee machine,take it to the coffee machine and turn on
20,458d075d168379d0_98ef,188,20250618-162040,20250619-091107,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['mug_0', 'coffeemachine_0']","['mug_0 is Dirty,  is PickedUp,   ; ', 'coffeemachine_0  is on top of a CounterTop ; ']",mug_0,"[{'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Go_to(coffeemachine_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(mug_0, sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)', 'Pick_up(mug_0)', 'Place(mug_0,cofeemachine_0)']","as I was making coffee, I will wash the cup and put it in the coffee machine",this mug is dirty
21,458d075d168379d0_98ef,195,20250618-162040,20250619-091841,Command,IN_CONTEXT_BEFORE_INITIAL,"['mug_0', 'coffeemachine_0', 'mug_1', 'faucet_0', 'sinkbasin_0']","['mug_0 is FilledWithLiquid,   is on top of a CounterTop and on top of a coffeemachine_0 ; ', 'coffeemachine_0  is on top of a CounterTop , has on top Mug; ', 'sinkbasin_0  , has inside Cup; ', 'faucet_0  is on top of a CounterTop ; ', 'mug_1 is FilledWithLiquid,  is Dirty,   is on top of a CounterTop ; ']",,"[{'command': 'Pick_up(mug_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]",['Pick_up(mug_2)'],mug_0 and mug_1 are already filled with liquid. Lets get a new mug,get a clean mug
22,458d075d168379d0_98ef,210,20250625-164924,20250625-170934,Command,IN_CONTEXT_AFTER_FINAL_SUCCESS,"['mug_0', 'cabinet_4', 'cabinet_1', 'cabinet_0', 'mug_1', 'cabinet_3', 'cabinet_2', 'cup_0', 'countertop_0']","['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Pan, DishSponge, Cup, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ', 'cabinet_0  , has inside Bread; ', 'cabinet_1  ; ', 'cabinet_2  , has inside Tomato; ', 'cabinet_3  , has inside SaltShaker, Tomato; ', 'cabinet_4  ; ', 'mug_1 is FilledWithLiquid,  is Dirty,  is PickedUp,   ; ']",mug_1,"[{'command': 'Pick_up(mug_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(mug_1, sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)', 'Pick_up(mug_1)']",the user refers to the mug I am holding. I will wash it,its not clean
23,458d075d168379d0_98ef,224,20250625-164924,20250625-171719,Command,IN_CONTEXT_AFTER_SUCCESS,"['mug_0', 'cabinet_4', 'cabinet_1', 'diningtable_0', 'coffeemachine_0', 'cabinet_0', 'mug_1', 'faucet_0', 'sinkbasin_0', 'apple_0', 'cabinet_3', 'knife_0', 'fridge_0', 'cabinet_2', 'cup_0', 'countertop_0']","['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Pan, DishSponge, Cup, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Knife, Faucet; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ', 'cabinet_0  , has inside Bread; ', 'cabinet_1  ; ', 'cabinet_2  , has inside Tomato; ', 'cabinet_3  , has inside SaltShaker, Tomato; ', 'cabinet_4  ; ', 'mug_1 is FilledWithLiquid,   is on top of a CounterTop and on top of a coffeemachine_0 ; ', 'sinkbasin_0  , has inside Cup; ', 'faucet_0  is on top of a countertop_0 ; ', 'coffeemachine_0 is Toggled,   is on top of a CounterTop , has on top Mug; ', 'apple_0  is on top of a diningtable_0 ; ', 'fridge_0 is Open,   is on top of a Floor , has inside SoapBottle, Tomato, Apple, Lettuce, Bowl, Apple, Knife, SoapBottle, Spoon, Potato, DishSponge; ', 'diningtable_0  is on top of a Floor , has on top Tomato, Mug, SaltShaker, SoapBottle, Apple, ButterKnife, SoapBottle, ButterKnife, Spatula, ButterKnife, Tomato, Tomato, Spoon, Lettuce, Egg, ButterKnife; ', 'knife_0 is PickedUp,   ; ']",knife_0,"[{'command': 'Place(apple_0, diningtable_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Pick_up(knife_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Slice(apple_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(knife_0, diningtable_0)', 'Go_to(fridge_0)', 'Open(fridge_0)', 'Pick_up(knife_1)', 'Slice(apple_0)']","the user wants me to use a different knife, which is located in the fridge. I will go to the fridge, get the knife, and  do all not attempted steps in the old plan",use the knife from the fridge
24,1c977f9a4b56548f_9d4b,242,20250626-161328,20250626-161751,Command,NO_CONTEXT,"['mug_0', 'coffeemachine_0', 'sinkbasin_0']","['coffeemachine_0 is Toggled,   is on top of a CounterTop ; ', 'mug_0 is Dirty,   is on top of a Sink ; ', 'sinkbasin_0  , has inside SprayBottle, PepperShaker; ']",,[],"['Pick_up(spraybottle_0)', 'Place(spraybottle_0, countertop_0)', 'Pick_up(peppershaker_0)', 'Place(peppershaker_0, countertop_0)']","take all objects that are in the sink out, placing them on the countertop",lets get the objects out of the sink
25,1c977f9a4b56548f_9d4b,249,20250626-161328,20250626-162622,Command,IN_CONTEXT_AFTER_SUCCESS,"['mug_0', 'peppershaker_0', 'coffeemachine_0', 'spraybottle_0', 'sinkbasin_0', 'peppershaker_1', 'countertop_0']","['coffeemachine_0 is Toggled,   is on top of a countertop_0 ; ', 'mug_0 is Dirty,  is PickedUp,   ; ', 'sinkbasin_0  ; ', 'spraybottle_0  is on top of a countertop_0 ; ', 'countertop_0  , has on top PepperShaker, SprayBottle, Plate, SaltShaker, Ladle, Bottle, CoffeeMachine, Kettle, Sink, Spatula, Spoon, ButterKnife, Lettuce; ', 'peppershaker_0  is inside a Cabinet ; ', 'peppershaker_1  is on top of a countertop_0 ; ']",mug_0,"[{'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Place(mug_0, coffeemachine_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Toggle_on(coffeemachine_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Toggle_off(coffeemachine_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Place(mug_0, countertop_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(mug_0, sinkbasin_0)', 'Toggle_on(faucet_0)', 'Pick_up(mug_0)', 'Place(mug_0, coffeemachine_0)', 'Toggle_on(coffeemachine_0)', 'Toggle_off(coffeemachine_0)', 'Pick_up(mug_0)', 'Place(mug_0, countertop_0)']",wash the mug and  do all not attempted steps in the old plan,wash it first
26,1c977f9a4b56548f_9d4b,251,20250626-161328,20250626-162732,Command,IN_CONTEXT_AFTER_SUCCESS,"['mug_0', 'peppershaker_0', 'coffeemachine_0', 'spraybottle_0', 'faucet_0', 'sinkbasin_0', 'peppershaker_1', 'countertop_0']","['coffeemachine_0 is Toggled,   is on top of a countertop_0 ; ', 'mug_0 is FilledWithLiquid,  is PickedUp,   ; ', 'sinkbasin_0  ; ', 'spraybottle_0  is on top of a countertop_0 ; ', 'countertop_0  , has on top PepperShaker, SprayBottle, Plate, SaltShaker, Ladle, Bottle, CoffeeMachine, Kettle, Sink, Spatula, Spoon, ButterKnife, Lettuce; ', 'peppershaker_0  is inside a Cabinet ; ', 'peppershaker_1  is on top of a countertop_0 ; ', 'faucet_0 is Toggled,   ; ']",mug_0,"[{'command': 'Place(mug_0, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_on(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Place(mug_0, coffeemachine_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Toggle_on(coffeemachine_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Toggle_off(coffeemachine_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Place(mug_0, countertop_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Pour(mug_0, sinkbasin_0)', 'Toggle_off(faucet_0)', 'Place(mug_0, coffeemachine_0)', 'Toggle_on(coffeemachine_0)', 'Toggle_off(coffeemachine_0)', 'Pick_up(mug_0)', 'Place(mug_0, countertop_0)']",wash the mug (faucet is already on) and  do all not attempted steps in the old plan,empty it first and turn off the water
27,8bae25f8140ae442_17e6,272,20250627-151115,20250627-151133,Command,IN_CONTEXT_BEFORE_INITIAL,[],[],,"[{'command': 'Pick_up(potato_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Place(potato_0, cabinet_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Pick_up(potato_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Place(potato_1, cabinet_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Pick_up(potato_0)', 'Open(cabinet_0)', 'Place(potato_0,cabinet_0)', 'Pick_up(potato_1)', 'Place(potato_1,cabinet_0)']",the cabinet_0 where I am placing the potatoes is closed. I need to open it before placing ,you have to open the cupboard
28,4b35d68889ce50b9_991a,289,20250627-160151,20250627-161118,Command,NO_CONTEXT,"['toaster_0', 'diningtable_0', 'bread_0', 'knife_0', 'breadsliced_0']","['knife_0  is on top of a diningtable_0 ; ', 'bread_0  ; ', 'breadsliced_0  is on top of a toaster_0 ; ', 'diningtable_0  is on top of a Floor , has on top Bread, Bread, Bread, Bread, Bread, Bread, Pot, Fork, Mug, Tomato, Bowl, Knife, Egg, Plate, ButterKnife, Cup, Potato; ', 'toaster_0  is on top of a CounterTop , has on top Bread; ']",,[],"['Toggle_on(toaster_0)', 'Toggle_off(toaster_0)', 'Pick_up(breadslice_0)', 'Place(breadslice_0,plate_0)']",the bread is inside the toaster. I will turn the toaster on and off,proceed with toasting the slice
29,d667029c5f9d5a39_2585,317,20250627-163013,20250627-163403,Command,NO_CONTEXT,['cloth_0'],"['cloth_0 is Dirty,  is PickedUp,   ; ']",cloth_0,[],"['Place(cloth_0, bathtub_0)', 'Pick_up(cloth_1)', 'Place(cloth_1, bathtub_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)']",I will put both cloths in the bathtub and turn on the water,lets wash cloths in the bathtub
