game,uid,id,game_start,utt_time,context,utt,old_plan,new_plan,new_plan_correction,anno,int_type,anno_explain,anno_manual_plan_correction,anno_needs_dlg,anno_couldbesolved_by_reasoning,notes
a271344397d0507c_5376,A1,126,20250613-144428,20250613-145315,"{'oids': ['knife_0', 'bread_0', 'diningtable_0', 'breadsliced_0', 'toaster_0', 'plate_0', 'sinkbasin_0', 'countertop_0', 'plate_1'], 'summary': ['knife_0  is on top of a diningtable_0 ; ', 'bread_0  ; ', 'diningtable_0  is on top of a Floor , has on top Bread, Bread, Bread, Bread, Bread, Lettuce, Tomato, SaltShaker, Cup, Knife, Cup, Egg, WineBottle, Tomato, Egg, Plate; ', 'breadsliced_0 is Cooked,   is on top of a countertop_0 and on top of a toaster_0 ; ', 'toaster_0 is Toggled,   is on top of a countertop_0 , has on top Bread; ', 'plate_0 is Dirty,   is on top of a countertop_0 , has on top Apple; ', 'sinkbasin_0  , has inside Spatula, ButterKnife, SaltShaker; ', 'countertop_0  , has on top Apple, Potato, DishSponge, Mug, CoffeeMachine, Pan, Lettuce, Toaster, Bread, Plate, Tomato, Fork, SoapBottle, SaltShaker; ', 'plate_1  is on top of a diningtable_0 ; '], 'holding': None, 'visual': 'BreadSliced; BreadSliced; BreadSliced; BreadSliced; Bread; Cup; Plate; Egg; SaltShaker; Tomato; Egg; Cup; WineBottle; Apple; Lettuce; Tomato; Floor; Knife; Window; Lettuce; ButterKnife; Blinds; Stool; DiningTable'}",take the bread slice from the toaster and put it on the plate,"[{'command': 'Place(plate_1, diningtable_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pick_up(breadsliced_0)', 'Place(breadsliced_0, plate_0)']","Pick_up(breadsliced_0);Place(breadsliced_0,plate_1)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,use the most recently discussed and clean plate,OK,,,
a271344397d0507c_5376,A1,128,20250613-144428,20250613-145437,"{'oids': ['knife_0', 'bread_0', 'diningtable_0', 'breadsliced_0', 'toaster_0', 'plate_0', 'sinkbasin_0', 'countertop_0', 'plate_1'], 'summary': ['knife_0  is on top of a diningtable_0 ; ', 'bread_0  ; ', 'diningtable_0  is on top of a Floor , has on top Bread, Bread, Bread, Bread, Bread, Lettuce, Plate, Tomato, SaltShaker, Cup, Knife, Egg, Cup, WineBottle, Tomato, Egg, Bread; ', 'breadsliced_0 is Cooked,   is on top of a plate_1 and on top of a diningtable_0 ; ', 'toaster_0 is Toggled,   is on top of a countertop_0 ; ', 'plate_0 is Dirty,   is on top of a countertop_0 , has on top Apple; ', 'sinkbasin_0  , has inside Spatula, ButterKnife, SaltShaker; ', 'countertop_0  , has on top DishSponge, Mug, Apple, Potato, CoffeeMachine, Pan, Lettuce, Toaster, Plate, Tomato, Fork, SoapBottle, SaltShaker; ', 'plate_1  is on top of a diningtable_0 , has on top Bread; '], 'holding': None, 'visual': 'BreadSliced; BreadSliced; BreadSliced; BreadSliced; BreadSliced; Bread; Cup; Plate; Egg; SaltShaker; Tomato; Egg; Cup; WineBottle; Apple; Lettuce; Tomato; Floor; Knife; Window; Lettuce; ButterKnife; Blinds; Stool; DiningTable'}",slice the tomato and put it on the plate as well,"[{'command': 'Pick_up(breadsliced_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Place(breadsliced_0, plate_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pick_up(knife_0)', 'Pick_up(tomato_0)', 'Slice(tomato_0)', 'Place(tomatosliced_0, plate_1)']","Pick_up(knife_0);Slice(tomato_0);Place(tomatosliced_0, plate_1)#",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,find a tomato and slice it,"['Pick_up(knife_0)','Slice(tomato_0)','Place(tomatosliced_0, plate_1)']",,,
a271344397d0507c_5376,A1,134,20250613-150146,20250613-150255,"{'oids': ['apple_0'], 'summary': ['apple_0 is PickedUp,   ; '], 'holding': 'apple_0', 'visual': 'Cup; Plate; SaltShaker; Tomato; Cup; WineBottle; Apple; Lettuce; Tomato; Floor; Knife; Bread; Lettuce; ButterKnife; Stool; DiningTable'}",wash it first,"[{'command': 'Pick_up(apple_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Place(apple_0, fridge_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Place(apple_0, sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)', 'Pick_up(apple_0)']","Place(apple_0, sinkbasin_0);Toggle_on(faucet_0);Toggle_off(faucet_0);Pick_up(apple_0);Place(apple_0,fridge_0)",user,IN_CONTEXT_AFTER_SUCCESS,wash the apple and then do all not attempted steps in the old plan,"['Place(apple_0, sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)', 'Pick_up(apple_0)', 'CONTINUE_NA']",,,
a271344397d0507c_5376,A1,136,20250613-150146,20250613-151103,"{'oids': ['apple_0', 'sinkbasin_0', 'faucet_0'], 'summary': ['apple_0  is on top of a sinkbasin_0 ; ', 'sinkbasin_0  , has inside Spatula, Apple, ButterKnife, SaltShaker; ', 'faucet_0  ; '], 'holding': None, 'visual': 'SaltShaker; SoapBottle; Fork; Lettuce; ButterKnife; Apple; CounterTop; Sink; Plate; Toaster; Fridge; Spatula; SinkBasin; SaltShaker; GarbageCan; Faucet'}",salt shouldn't be in the sink,"[{'command': 'Place(apple_0, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_on(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_off(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Pick_up(apple_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}, {'command': 'Place(apple_0, fridge_0)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Pick_up(saltshaker_0)', 'Place(saltshaker_0, countertop_0)']","Pick_up(saltshaker_0);Place(saltshaker_0, countertop_0);Pick_up(apple_0);Place(apple_0,fridge_0)",user,IN_CONTEXT_AFTER_SUCCESS,move the salt shaker to the countertop and do all not attempted steps in the old plan,"['Pick_up(saltshaker_0)','Place(saltshaker_0, countertop_0)','CONTINUE_NA']",,,
8d187c2be57b026b_14a6,A1,141,20250613-151825,20250613-151825,"{'oids': [], 'summary': [], 'holding': None, 'visual': 'Pan; Drawer; CounterTop; Cabinet; Cabinet; CounterTop; Floor; ButterKnife'}",lets find something for watering,[],['Find(mug_0)'],Pick_up(mug_0),user,NO_CONTEXT,,OK,,,
8d187c2be57b026b_14a6,A1,143,20250613-151825,20250613-151913,"{'oids': ['mug_0'], 'summary': ['mug_0 is FilledWithLiquid,   is on top of a Plate and inside a Cabinet ; '], 'holding': None, 'visual': 'DishSponge; Drawer; Drawer; Cabinet; CounterTop; Cabinet; Cabinet; Cabinet; Cabinet; Sink; Floor; HousePlant'}",open the cabinet,"[{'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.FAILED'}]",['Open(cabinet_0)'],Open(cabinet_0);Pick_up(mug_0),user,IN_CONTEXT_AFTER_FINAL_FAILED,"the mug is inside the cabinet, open the cabinet and pick up the mug",OK,,,
66fecce3c339dad8_84ba,A1,165,20250613-153250,20250618-160236,"{'oids': ['pot_0', 'sinkbasin_0'], 'summary': ['pot_0 is Dirty,  is PickedUp,   ; ', 'sinkbasin_0  , has inside Apple, Mug, CounterTop, PepperShaker; '], 'holding': 'pot_0', 'visual': 'Pot; Drawer; Cabinet; Cabinet; Cabinet; Cabinet; CounterTop; Sink; Drawer; Spatula; Microwave; SoapBottle'}",fill it up,"[{'command': 'Pour(pot_0, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Toggle_on(faucet_0)', 'Toggle_off(faucet_0)']","Place(pot_0,sinkbasin_0);Toggle_on(faucet_0);Toggle_off(faucet_0)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,I will fill up the pot that I just used by placing it in the sink and turning on the water,OK,,,
458d075d168379d0_98ef,A1,174,20250618-160606,20250618-161154,"{'oids': ['cup_0', 'countertop_0', 'mug_0'], 'summary': ['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Mug, Pan, DishSponge, Cup, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; '], 'holding': None, 'visual': 'DishSponge; SoapBottle; Cabinet; Cabinet; Drawer; Cabinet; Cabinet; Cabinet; Cabinet; CounterTop; Cabinet; Cabinet; Floor; Bread; Fridge; Cup; Pan; Toaster; Mug'}",open the cabinet first,"[{'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.FAILED'}]",['Open(cabinet_0)'],Open(cabinet_0);Pick_up(mug_0),user,IN_CONTEXT_AFTER_FINAL_FAILED,"the mug is in the cabinet, I will open the cabinet and pick up the mug",OK,,,
458d075d168379d0_98ef,A1,179,20250618-160606,20250618-161424,"{'oids': ['cup_0', 'countertop_0', 'mug_0', 'cabinet_0', 'mug_1'], 'summary': ['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Pan, DishSponge, Cup, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ', 'cabinet_0  , has inside Bread; ', 'mug_1 is FilledWithLiquid,  is Dirty,  is PickedUp,   ; '], 'holding': 'mug_1', 'visual': 'DishSponge; SoapBottle; Cabinet; Cabinet; Cabinet; Cabinet; CounterTop; Cabinet; Bread; Cup; Pan; Toaster; Mug'}",this looks dirty,"[{'command': 'Close(cabinet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Pick_up(mug_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(mug_1, countertop_0)', 'Pick_up(cup_0)', 'Place(cup_0, sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)', 'Pick_up(cup_0)', 'Place(cup_0, countertop_0)']","Pour(mug_1,sinkbasin_0);Place(mug_1,sinkbasin_0);Toggle_on(faucet_0);Toggle_off(faucet_0);Pick_up(mug_1)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,the user refers to the mug I am holding. I will wash it,OK,,,
458d075d168379d0_98ef,A1,181,20250618-160606,20250618-161615,"{'oids': ['cup_0', 'countertop_0', 'mug_0', 'cabinet_0', 'mug_1', 'sinkbasin_0', 'faucet_0'], 'summary': ['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Cup, Pan, DishSponge, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ', 'cabinet_0  , has inside Bread; ', 'mug_1 is FilledWithLiquid,  is PickedUp,   ; ', 'sinkbasin_0  , has inside Cup; ', 'faucet_0  is on top of a countertop_0 ; '], 'holding': 'mug_1', 'visual': 'Knife; ButterKnife; Cup; Cabinet; Cabinet; Cabinet; Sink; Cabinet; Drawer; CounterTop; Cabinet; Cabinet; Floor; Microwave; Cup; SinkBasin; Knife; Toaster; Mug; Faucet; Faucet'}",empty it,"[{'command': 'Pour(mug_1, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Place(mug_1, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_on(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Toggle_off(faucet_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Pick_up(mug_1)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Pick_up(cup_0)', 'Pour(cup_0, sinkbasin_0)', 'Place(cup_0, countertop_0)']","Pour(mug_1,sinkbasin_0)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,the user refers to the mug I am holding. I will empty it.,OK,,,
458d075d168379d0_98ef,A1,183,20250618-160606,20250618-161709,"{'oids': ['cup_0', 'countertop_0', 'mug_0', 'cabinet_0', 'mug_1', 'sinkbasin_0', 'faucet_0'], 'summary': ['cup_0 is FilledWithLiquid,   is on top of a countertop_0 ; ', 'countertop_0  , has on top Knife, Cup, Pan, DishSponge, Toaster, Bread, SoapBottle, ButterKnife, Faucet, Faucet, Knife; ', 'mug_0 is FilledWithLiquid,  is Dirty,   is inside a Cabinet ; ', 'cabinet_0  , has inside Bread; ', 'mug_1 is PickedUp,   ; ', 'sinkbasin_0  , has inside Cup; ', 'faucet_0  is on top of a countertop_0 ; '], 'holding': 'mug_1', 'visual': 'Knife; ButterKnife; Cup; Cabinet; Cabinet; Cabinet; Sink; Cabinet; Drawer; CounterTop; Cabinet; Cabinet; Floor; Microwave; Cup; SinkBasin; Knife; Toaster; Mug; Faucet; Faucet'}",take it to the coffee machine and turn on,"[{'command': 'Pour(mug_1, sinkbasin_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(mug_1, countertop_0)', 'Go_to(coffeemachine_0)', 'Toggle_on(coffeemachine_0)']","Place(mug_1,coffeemachine_0);Toggle_on(coffeemachine_0)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,the user refers to the mug I am holding. I will place it in the coffee machine,OK,,,
458d075d168379d0_98ef,A1,188,20250618-162040,20250619-091107,"{'oids': ['mug_0', 'coffeemachine_0'], 'summary': ['mug_0 is Dirty,  is PickedUp,   ; ', 'coffeemachine_0  is on top of a CounterTop ; '], 'holding': 'mug_0', 'visual': 'Pan; Pot; Potato; Mug; SaltShaker; Mug; Drawer; CounterTop; Cabinet; StoveBurner; StoveBurner; Floor; CoffeeMachine; StoveKnob'}",this mug is dirty,"[{'command': 'Pick_up(mug_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}, {'command': 'Go_to(coffeemachine_0)', 'status': 'SubgoalStatus.SUCCESSFUL'}]","['Place(mug_0, sinkbasin_0)', 'Toggle_on(faucet_0)', 'Toggle_off(faucet_0)', 'Pick_up(mug_0)', 'Place(mug_0, countertop_0)']","Place(mug_0, sinkbasin_0);Toggle_on(faucet_0);Toggle_off(faucet_0);Pick_up(mug_0);Place(mug_0,cofeemachine_0)",user,IN_CONTEXT_AFTER_FINAL_SUCCESS,"as I was making coffee, I will wash the cup and put it in the coffee machine",OK,YES,,needs the knowledge of the task or just previous command
458d075d168379d0_98ef,A1,195,20250618-162040,20250619-091841,"{'oids': ['mug_0', 'coffeemachine_0', 'sinkbasin_0', 'faucet_0', 'mug_1'], 'summary': ['mug_0 is FilledWithLiquid,   is on top of a CounterTop and on top of a coffeemachine_0 ; ', 'coffeemachine_0  is on top of a CounterTop , has on top Mug; ', 'sinkbasin_0  , has inside Cup; ', 'faucet_0  is on top of a CounterTop ; ', 'mug_1 is FilledWithLiquid,  is Dirty,   is on top of a CounterTop ; '], 'holding': None, 'visual': 'Pan; Pot; Potato; Mug; SaltShaker; Mug; Drawer; Drawer; CounterTop; Cabinet; Cabinet; StoveBurner; StoveBurner; Floor; CoffeeMachine; StoveKnob'}",get a clean mug,"[{'command': 'Pick_up(mug_1)', 'status': 'SubgoalStatus.NOT_ATTEMPTED'}]","['Pick_up(mug_0)', 'Place(mug_0, countertop_0)', 'Pick_up(mug_1)']",Pick_up(mug_0),user,IN_CONTEXT_BEFORE_INITIAL,mug_0 and mug_1 are already filled with liquid. Lets get a new mug,['Pick_up(mug_2)'],,,
